n,time
1024,3.366540e-01
2048,2.605790e-01
4096,2.611540e-01
8192,2.582850e-01
16384,2.583510e-01
32768,2.582840e-01
65536,2.573580e-01
131072,2.583170e-01
262144,2.585680e-01
524288,2.642340e-01
1048576,2.605770e-01
2097152,2.624320e-01
4194304,2.655970e-01
8388608,2.741930e-01
16777216,2.908260e-01
33554432,3.219700e-01
67108864,3.848200e-01
134217728,4.964510e-01
268435456,7.401400e-01
536870912,1.387620e+00
